Datum,Uhrzeit,ADC,Rs_Ohm,PPM_CO2
2026-03-26,10:03:56,63,6095.2,566.0
2026-03-26,10:03:58,64,5993.8,592.93
2026-03-26,10:04:00,64,5993.8,592.93
2026-03-26,10:04:02,64,5993.8,592.93
2026-03-26,10:04:04,64,5993.8,592.93
2026-03-26,10:04:06,64,5993.8,592.93
2026-03-26,10:04:08,64,5993.8,592.93
2026-03-26,10:04:10,66,5800.0,649.41
2026-03-26,10:04:12,66,5800.0,649.41
2026-03-26,10:04:14,67,5707.5,678.99
2026-03-26,10:04:16,66,5800.0,649.41
2026-03-26,10:04:18,66,5800.0,649.41
2026-03-26,10:04:20,66,5800.0,649.41
2026-03-26,10:04:22,66,5800.0,649.41
2026-03-26,10:04:24,65,5895.4,620.73
2026-03-26,10:04:26,66,5800.0,649.41
2026-03-26,10:04:28,66,5800.0,649.41
2026-03-26,10:04:30,65,5895.4,620.73
2026-03-26,10:04:32,65,5895.4,620.73
2026-03-26,10:04:34,65,5895.4,620.73
2026-03-26,10:04:36,65,5895.4,620.73
2026-03-26,10:04:38,65,5895.4,620.73
2026-03-26,10:04:40,65,5895.4,620.73
2026-03-26,10:04:42,66,5800.0,649.41
2026-03-26,10:04:44,65,5895.4,620.73
2026-03-26,10:04:46,65,5895.4,620.73
2026-03-26,10:04:48,65,5895.4,620.73
2026-03-26,10:04:50,64,5993.8,592.93
2026-03-26,10:04:52,64,5993.8,592.93
2026-03-26,10:04:54,64,5993.8,592.93
2026-03-26,10:04:56,64,5993.8,592.93
2026-03-26,10:04:58,64,5993.8,592.93
2026-03-26,10:05:00,64,5993.8,592.93
